,IMDb,platform,fre
875,7.8,Netflix,1
876,7.9,Netflix,1
877,6.3,Netflix,1
878,7.2,Netflix,1
879,5.5,Netflix,1
880,5.8,Netflix,1
881,6.1,Netflix,1
882,7.3,Netflix,1
883,5.6,Netflix,1
884,8.3,Netflix,1
885,6.6,Netflix,1
886,6.8,Netflix,1
887,7.3,Netflix,1
888,8,Netflix,1
889,7.5,Netflix,1
890,5.7,Netflix,1
891,7.3,Netflix,1
892,5.3,Netflix,1
893,6.3,Netflix,1
894,6.2,Netflix,1
895,6.4,Netflix,1
896,5.5,Netflix,1
897,5.6,Netflix,1
898,6.1,Netflix,1
899,7.6,Netflix,1
900,7.9,Netflix,1
901,5.5,Netflix,1
902,6.9,Netflix,1
903,6.2,Netflix,1
904,6.5,Netflix,1
905,5.8,Netflix,1
906,6.8,Netflix,1
907,6.9,Netflix,1
908,7.4,Netflix,1
909,6.1,Netflix,1
910,6.8,Netflix,1
911,6.3,Netflix,1
912,6.6,Netflix,1
913,6.9,Netflix,1
914,7.1,Netflix,1
915,5.7,Netflix,1
916,5.4,Netflix,1
917,6.3,Netflix,1
918,6.1,Netflix,1
919,6.5,Netflix,1
920,5.6,Netflix,1
921,6.5,Netflix,1
922,7,Netflix,1
923,6.2,Netflix,1
924,7.9,Netflix,1
925,6.2,Netflix,1
926,6.9,Netflix,1
927,7.2,Netflix,1
928,6.1,Netflix,1
929,6.6,Netflix,1
930,6.6,Netflix,1
931,5.6,Netflix,1
932,5.3,Netflix,1
933,5.6,Netflix,1
934,6.5,Netflix,1
935,5.6,Netflix,1
936,6.3,Netflix,1
937,8.1,Netflix,1
938,6.7,Netflix,1
939,6.1,Netflix,1
940,6.2,Netflix,1
941,6.7,Netflix,1
942,5.9,Netflix,1
943,6,Netflix,1
944,7.6,Netflix,1
945,6.8,Netflix,1
946,6.2,Netflix,1
947,5.3,Netflix,1
948,9.1,Netflix,1
949,6.2,Netflix,1
950,6.1,Netflix,1
951,6,Netflix,1
952,6.1,Netflix,1
953,5.6,Netflix,1
954,5.6,Netflix,1
955,5.6,Netflix,1
956,6.9,Netflix,1
957,5.9,Netflix,1
958,7.6,Netflix,1
959,6.5,Netflix,1
960,8.4,Netflix,1
961,5.9,Netflix,1
962,6.4,Netflix,1
963,6,Netflix,1
964,5.7,Netflix,1
965,6,Netflix,1
966,5.7,Netflix,1
967,6,Netflix,1
968,6.6,Netflix,1
969,5.6,Netflix,1
970,5.9,Netflix,1
971,6.2,Netflix,1
972,7.9,Netflix,1
973,5.8,Netflix,1
974,8.1,Netflix,1
975,5.8,Netflix,1
976,7.9,Netflix,1
977,5.9,Netflix,1
978,6.1,Netflix,1
979,6.6,Netflix,1
980,7.5,Netflix,1
981,7.7,Netflix,1
982,7,Netflix,1
983,6.1,Netflix,1
984,7.8,Netflix,1
985,7.7,Netflix,1
986,6.6,Netflix,1
987,7.1,Netflix,1
988,7.2,Netflix,1
989,7.4,Netflix,1
990,7.7,Netflix,1
991,5.6,Netflix,1
992,7,Netflix,1
993,7,Netflix,1
994,6.3,Netflix,1
995,7.2,Netflix,1
996,5.4,Netflix,1
997,6.4,Netflix,1
998,6.6,Netflix,1
999,5.7,Netflix,1
1000,7.8,Netflix,1
1001,6.9,Netflix,1
1002,5.5,Netflix,1
1003,7.2,Netflix,1
1004,6,Netflix,1
1005,5.4,Netflix,1
1006,6.2,Netflix,1
1007,6.1,Netflix,1
1008,5.4,Netflix,1
1009,5.4,Netflix,1
1010,5.9,Netflix,1
1011,7.3,Netflix,1
1012,7.3,Netflix,1
1013,5.9,Netflix,1
1014,7.5,Netflix,1
1015,7.6,Netflix,1
1016,5.2,Netflix,1
1017,7.4,Netflix,1
1018,8.4,Netflix,1
1019,6.1,Netflix,1
1020,5.8,Netflix,1
1021,6.3,Netflix,1
1022,7.4,Netflix,1
1023,6.1,Netflix,1
1024,5.3,Netflix,1
1025,5.9,Netflix,1
1026,6.2,Netflix,1
1027,5.5,Netflix,1
1028,7.3,Netflix,1
1029,7.1,Netflix,1
1030,6.4,Netflix,1
1031,5.8,Netflix,1
1032,5.7,Netflix,1
1033,6.7,Netflix,1
1034,5.8,Netflix,1
1035,5.3,Netflix,1
1036,5.4,Netflix,1
1037,5.7,Netflix,1
1038,7.5,Netflix,1
1039,6.9,Netflix,1
1040,6,Netflix,1
1041,6.3,Netflix,1
1042,7.4,Netflix,1
1043,8.5,Netflix,1
1044,6.1,Netflix,1
1045,5.9,Netflix,1
1046,5.3,Netflix,1
1047,7.8,Netflix,1
1048,4.7,Netflix,1
1049,8,Netflix,1
1050,6.5,Netflix,1
1051,5.5,Netflix,1
1052,5.7,Netflix,1
1053,5.4,Netflix,1
1054,6.5,Netflix,1
1055,6.3,Netflix,1
1056,7.2,Netflix,1
1057,5.5,Netflix,1
1058,5.9,Netflix,1
1059,5.9,Netflix,1
1060,5.8,Netflix,1
1061,6.5,Netflix,1
1062,5.5,Netflix,1
1063,7.3,Netflix,1
1064,5.4,Netflix,1
1065,8,Netflix,1
1066,6.2,Netflix,1
1067,5.5,Netflix,1
1068,5.8,Netflix,1
1069,5.7,Netflix,1
1070,7.5,Netflix,1
1071,4.6,Netflix,1
1072,6.3,Netflix,1
1073,6.5,Netflix,1
1074,5.2,Netflix,1
1075,5.5,Netflix,1
1076,5.1,Netflix,1
1077,6.4,Netflix,1
1078,5.7,Netflix,1
1079,5.8,Netflix,1
1080,5.7,Netflix,1
1081,6.7,Netflix,1
1082,6.9,Netflix,1
